bioproject,title,submission_date,organism,project_type,description,sra_experiments_count,biosamples_count,sra_runs_count,sra_experiments,biosamples,sra_runs,publications_found,search_method,papers_summary,dois,pmids
PRJNA1381306,RNA-seq profiling of Solanum lycopersicum leaves in response to Fusarium solani endophyte and drought stress,NA,Solanum lycopersicum,"
            ","Fusarium solani strain K (FsK) is a beneficial root-residing fungal endophyte previously shown to enhance tomato resilience to biotic stresses. Here, we evaluated whether FsK also improves drought tolerance and investigated the underlying molecular and metabolic mechanisms. Tomato plants were inoculated with FsK or mock-treated and subjected to either well-watered or reduced-irrigation conditions. Physiological measurements, transcriptome profiling (RNA-seq), targeted hormone quantification, and untargeted metabolomic analyses were performed on leaf tissues to assess systemic plant responses. FsK-colonized plants exhibited enhanced drought tolerance, displaying higher relative water content and biomass accumulation compared with non-inoculated stressed plants. RNA-seq analysis revealed differential regulation of genes associated with abscisic acid (ABA) and jasmonic acid (JA) signaling, WRKY transcription factors, mitogen-activated protein kinase (MAPK) signaling MAPK pathways, and stress-responsive regulators, including several transcripts showing priming-type expression patterns. Metabolomic profiling showed a strong effect of FsK on leaf metabolic composition, with significant increases in ABA, JA, and specific metabolites such as kaempferol derivatives, D-glucosamine, and malic acid. Overall, our findings demonstrate that FsK primes tomato plants for drought tolerance through coordinated modulation of hormonal signaling, transcriptional regulation, and metabolic adjustment, providing insight into systemic mechanisms underlying endophyte-mediated stress resilience..",12,12,12,SRX31557547; SRX31557546; SRX31557545; SRX31557544; SRX31557543; SRX31557542; SRX31557541; SRX31557540; SRX31557539; SRX31557538; SRX31557537; SRX31557536,SAMN54118006; SAMN54118007; SAMN54118008; SAMN54118009; SAMN54118010; SAMN54118011; SAMN54118012; SAMN54118013; SAMN54118014; SAMN54118015; SAMN54118016; SAMN54118017,SRR36541090; SRR36541091; SRR36541092; SRR36541093; SRR36541094; SRR36541095; SRR36541096; SRR36541097; SRR36541098; SRR36541099; SRR36541100; SRR36541101,NA,NA,NA,NA,NA
PRJNA1346947,CDs alleviate oxidative stress in tomato seedlings under water deficit stress,NA,Zhengzhou university,"
            ","Drought severely impairs plant growth and crop yield, thereby posing a substantial threat to global food security. Conventional drought resistance strategies typically depend heavily on freshwater resources, which exacerbates the conflict between water allocation for human consumption and agricultural use. Nanomaterials, endowed with unique properties such as a large specific surface area and high catalytic activity, can modulate plant growth and stress tolerance by improving cellular microenvironments or interacting directly with key biochemical processes. This study identifies citric acid-formamide carbon dots- a type of carbon based nanomaterial hat enhances drought stress resistance in tomato plants (Solanum lycopersicum): root application of CDs increased seedling height, as well as fresh and dry biomass, alleviated drought-induced growth inhibition, reduced chlorophyll degradation, and improved photosynthetic efficiency; mechanistically, experimental evidence demonstrated that CDs are primarily taken up by tomato roots via active transport and the apoplastic pathway, transcriptomic analysis revealed significant differential expression of 156 genes (including those involved in oxidative stress response regulation), in vitro co-incubation assays showed CDs reduced levels of reactive oxygen species (ROS; i.e., H2O2 and O2-), and consistently, CDs decreased ROS accumulation in excised tomato leaf discs and further reduced H2O2, O2-, and malondialdehyde (MDA) accumulation in intact tomato leaves under drought. Notably, foliar application of CDs also alleviated drought stress. Collectively, these results indicate that CDs possess intrinsic ROS-scavenging activity, which reduces drought-induced ROS overaccumulation and thereby enhances tomato drought tolerance, providing novel insights into nanomaterial-plant interactions and a potential strategy to mitigate drought-associated crop yield losses.",6,6,6,SRX30876757; SRX30876756; SRX30876755; SRX30876754; SRX30876753; SRX30876752,SAMN52845681; SAMN52845682; SAMN52845683; SAMN52845684; SAMN52845685; SAMN52845686,SRR35827462; SRR35827463; SRR35827464; SRR35827465; SRR35827466; SRR35827467,NA,NA,NA,NA,NA
PRJNA1344858,Analysis of drought stress response in SlERF4-9 knockout and root-specific overexpression tomato lines,NA,Shihezi University,"
            ","This study provides transcriptomic data to investigate the role of the transcription factor SlERF4-9 in the drought stress response of tomato (Solanum lycopersicum L. cv. CastleMart). RNA-Seq was performed on root and leaf tissues from wild-type (WT), SlERF4-9 root-specific overexpression (proSlDLP19::SlERF4-9-Flag), and slerf4-9 CRISPR/Cas9 knockout mutant plants</p><p>Samples were collected under both control conditions (0h) and after 3h of treatment with 12% PEG6000 to simulate drought stress. The dataset enables the identification of SlERF4-9-dependent differentially expressed genes (DEGs) and analysis of the transcriptional networks regulated by SlERF4-9 in a tissue-specific manner during the early stages of drought response.</p><p>This resource is valuable for understanding the global gene expression changes mediated by SlERF4-9 and for identifying potential target genes involved in plant stress tolerance.",36,36,36,SRX30829250; SRX30829249; SRX30829248; SRX30829247; SRX30829246; SRX30829245; SRX30829244; SRX30829243; SRX30829242; SRX30829241; SRX30829240; SRX30829239; SRX30829238; SRX30829237; SRX30829236; SRX30829235; SRX30829234; SRX30829233; SRX30829232; SRX30829231; SRX30829230; SRX30829229; SRX30829228; SRX30829227; SRX30829226; SRX30829225; SRX30829224; SRX30829223; SRX30829222; SRX30829221; SRX30829220; SRX30829219; SRX30829218; SRX30829217; SRX30829216; SRX30829215,SAMN52655609; SAMN52655610; SAMN52655611; SAMN52655612; SAMN52655613; SAMN52655614; SAMN52655615; SAMN52655616; SAMN52655617; SAMN52655618; SAMN52655619; SAMN52655620; SAMN52655621; SAMN52655622; SAMN52655623; SAMN52655624; SAMN52655625; SAMN52655626; SAMN52655627; SAMN52655628; SAMN52655629; SAMN52655630; SAMN52655631; SAMN52655632; SAMN52655633; SAMN52655634; SAMN52655635; SAMN52655636; SAMN52655637; SAMN52655638; SAMN52655639; SAMN52655640; SAMN52655641; SAMN52655642; SAMN52655643; SAMN52655644,SRR35779925; SRR35779926; SRR35779927; SRR35779928; SRR35779929; SRR35779930; SRR35779931; SRR35779932; SRR35779933; SRR35779934; SRR35779935; SRR35779936; SRR35779937; SRR35779938; SRR35779939; SRR35779940; SRR35779941; SRR35779942; SRR35779943; SRR35779944; SRR35779945; SRR35779946; SRR35779947; SRR35779948; SRR35779949; SRR35779950; SRR35779951; SRR35779952; SRR35779953; SRR35779954; SRR35779955; SRR35779956; SRR35779957; SRR35779958; SRR35779959; SRR35779960,NA,NA,NA,NA,NA
PRJNA1172730,"Effect of Penicillium chrysogenum, Penicillium minioluteum, and Serendipita indica on gene expression in Solanum lycopersicum plants under control and drought stress conditions",NA,"Effect of Penicillium chrysogenum, Penicillium minioluteum, and Serendipita indica on gene expression in Solanum lycopersicum plants under control and drought stress conditions","
            ","Plants coexist in close proximity with numerous microorganisms in their rhizosphere. With certain microorganisms, plants establish mutualistic relationships that can confer physiological benefits to the interacting organisms, including enhanced nutrient assimilation or increased stress tolerance. The root-colonizing endophytic fungi Penicillium chrysogenum, Penicillium minioluteum, and Serendipita indica have been reported to enhance the drought stress tolerance of plants. However, to date, the molecular mechanisms triggered by these fungi in plants remain unexplored. This study presents a comparative analysis of the effects on mock- and fungus-infected tomato plants (var. Moneymaker) under drought stress conditions (40% field capacity) and control conditions (100% field capacity). The findings provide evidence for the induction of common response modules by the fungi. Overall design: To investigate differential gene expression in tomato roots under drought stress (40FC) and control conditions (100FC) that were either mock-treated (Ctrl) or inoculated with Penicillium chrysogenum (Pchry), Penicillium miniolutem (Pmin), or Serendipita indica (Sind).",24,24,24,SRX26412276; SRX26412275; SRX26412274; SRX26412273; SRX26412272; SRX26412271; SRX26412270; SRX26412269; SRX26412268; SRX26412267; SRX26412266; SRX26412265; SRX26412264; SRX26412263; SRX26412262; SRX26412261; SRX26412260; SRX26412259; SRX26412258; SRX26412257; SRX26412256; SRX26412255; SRX26412254; SRX26412253,SAMN44280343; SAMN44280344; SAMN44280345; SAMN44280346; SAMN44280347; SAMN44280348; SAMN44280349; SAMN44280350; SAMN44280351; SAMN44280352; SAMN44280353; SAMN44280354; SAMN44280355; SAMN44280356; SAMN44280357; SAMN44280358; SAMN44280359; SAMN44280360; SAMN44280361; SAMN44280362; SAMN44280363; SAMN44280364; SAMN44280365; SAMN44280366,SRR31025479; SRR31025480; SRR31025481; SRR31025482; SRR31025483; SRR31025484; SRR31025485; SRR31025486; SRR31025487; SRR31025488; SRR31025489; SRR31025490; SRR31025491; SRR31025492; SRR31025493; SRR31025494; SRR31025495; SRR31025496; SRR31025497; SRR31025498; SRR31025499; SRR31025500; SRR31025501; SRR31025502,NA,NA,NA,NA,NA
PRJNA1100914,Effects of strigolactones on tomato leaf transcriptome under irrigated and repeated water stress conditions,NA,Effects of strigolactones on tomato leaf transcriptome under irrigated and repeated water stress conditions,"
            ","In response to environmental stressors, plants exhibit a phenomenon known as stress memory, whereby a prior stress episode influences their subsequent responses. This suggests the existence of a molecular memory mechanism that allows plants to adapt to recurring stress events. Previous work has highlighted the contribution of the phytohormone strigolactones to drought stress and memory thereof (10.1007/s00425-015-2266-8; 10.1111/nph.14190; 10.1111/pce.13758; 10.1093/pcp/pcac058). Additionally, there are sparse indications that especially (but not only) in Solanaceous plants, they may have a significant effect on reproduction (reviewed by 10.1111/pce.14461). However, the molecular underpinnings of both phenomena have not been researched yet. This study investigated the positioning of strigolactones to the tomato flowering network, and their contribution to drought memory. Overall design: We deep-sequenced total RNA from leaves of 3-week-old wt (M82 genotype) and strigolactone-depleted plants showing 70-80% reduction of strigolactone content in root tissues and exudates (SL-; line 6936 silenced in the CCD7 biosynthetic gene, kind gift by Dr. H. J. Klee, University of Florida, ). A total of 21 samples are included in the dataset, corresponding to 7 different conditions/treatments/genotypes each coming in 3 biological replicates; each biological replicate consisted of at least 3 fully expanded leaves (one per plant) from 5 plants per condition/treatment/genotype. The 7 kinds of samples are leaves from plants under: unstressed, irrigated conditions (control samples, both wt and SL- genotype - WT_WW and CC_WW); irrigated conditions after 1 drought episode (recovery 1, both for wt and SL- genotype - WT_S1 and CC_S1); irrigated conditions after 2 drought episodes ( (recovery 2, both for wt and SL- genotype - WT_S2 and CC_S2); unstressed, irrigated conditions but treated 24 h earlier with the synthetic strigolactone analogue GR245DS (wt only - WTTR24).",21,21,21,SRX24271775; SRX24271774; SRX24271773; SRX24271772; SRX24271771; SRX24271770; SRX24271769; SRX24271768; SRX24271767; SRX24271766; SRX24271765; SRX24271764; SRX24271763; SRX24271762; SRX24271761; SRX24271760; SRX24271759; SRX24271758; SRX24271757; SRX24271756; SRX24271755,SAMN40981473; SAMN40981474; SAMN40981475; SAMN40981476; SAMN40981477; SAMN40981478; SAMN40981479; SAMN40981480; SAMN40981481; SAMN40981482; SAMN40981483; SAMN40981484; SAMN40981485; SAMN40981486; SAMN40981487; SAMN40981488; SAMN40981489; SAMN40981490; SAMN40981491; SAMN40981492; SAMN40981493,SRR28704512; SRR28704513; SRR28704514; SRR28704515; SRR28704516; SRR28704517; SRR28704518; SRR28704519; SRR28704520; SRR28704521; SRR28704522; SRR28704523; SRR28704524; SRR28704525; SRR28704526; SRR28704527; SRR28704528; SRR28704529; SRR28704530; SRR28704531; SRR28704532,NA,NA,NA,NA,NA
PRJNA931980,Transcriptomic analysis reveals the gene regulatory networks involved in leaf and root response to osmotic stress in tomato,NA,Transcriptomic analysis reveals the gene regulatory networks involved in leaf and root response to osmotic stress in tomato,"
            ","We performed a transcriptomic analysis on two tomato genotypes, M82 and Tondo, in response to a PEG-mediated osmotic treatment, mimicking water stress. The analysis was conducted separately on leaves and roots to characterize the specific response of these two organs. A total of 6,267 differentially expressed transcripts related to osmotic stress response was detected. The construction of gene co-expression networks defined the metabolic and signaling pathways of the common and specific responses of leaf and root. The common response was characterized by ABA-dependent and ABA-independent signaling pathways, and by the interconnection between ABA and JA signaling. The root specific response concerned genes involved in cell wall metabolism and remodeling, whereas the leaf specific response was principally related to leaf senescence and ethylene signaling. The transcription factors representing the hubs of these regulatory networks were identified. Some of them have not yet characterized and can represent novel candidates for tolerance. Finally, several genes showing a genotype-specific expression regulation in response to the treatment were detected. These genes may be involved in the different sensitivity to the osmotic treatment of the two tomato genotypes. In conclusion, this work shed new light on the regulatory networks occurring in tomato leaf and root under osmotic stress and set the base for an in-depth characterization of novel stress-related genes, that may represent potential candidates for improving tolerance to water stress in tomato. Overall design: The study used 24 arrrays with RNA extracted from two tomato genotypes (Tondo and M82), two tissues (leaf and root), in control and under PEG conditions (2 genotypes x2 conditions x2 tissues x3 biological replicates= 24 arrays).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA875392,Protoplast data: suberized exodermis is required for tomato drought tolerance,NA,Protoplast data: suberized exodermis is required for tomato drought tolerance,"
            ","This experiment aimed to identify protoplast-induced genes in tomato seedling, for future use in single cell datasets. Overall design: Comparative gene expression profiling analysis of RNA-seq data for tomato seedling roots (protoplasted vs non-protoplasted).",6,6,6,SRX17381389; SRX17381388; SRX17381387; SRX17381386; SRX17381385; SRX17381384,SAMN30615191; SAMN30615192; SAMN30615193; SAMN30615194; SAMN30615195; SAMN30615196,SRR21375712; SRR21375713; SRR21375714; SRR21375715; SRR21375716; SRR21375717,NA,NA,NA,NA,NA
PRJNA875390,Single cell data: suberized exodermis is required for tomato drought tolerance,NA,Single cell data: suberized exodermis is required for tomato drought tolerance,"
            ",Single cell datasets of tomato (Solanum lycopersicum) seedling roots grown in MS plates. Overall design: single-cell RNA-sesq,2,2,2,SRX17382437; SRX17382436,SAMN30615197; SAMN30615198,SRR21376774; SRR21376775,NA,NA,NA,NA,NA
PRJNA734743,Response to drought stress in tomato roots during the interaction with the root-knot nematode,NA,Solanum lycopersicum cultivar:San Marzano nano,"
            ",Study that integrates the different levels of response to drought stress in tomato during the interaction with the root-knot nematode,72,18,72,SRX11070916; SRX11070915; SRX11070914; SRX11070913; SRX11070912; SRX11070911; SRX11070910; SRX11070909; SRX11070908; SRX11070907; SRX11070906; SRX11070905; SRX11070904; SRX11070903; SRX11070902; SRX11070901; SRX11070900; SRX11070899; SRX11070898; SRX11070897; SRX11070896; SRX11070895; SRX11070894; SRX11070893; SRX11070892; SRX11070891; SRX11070890; SRX11070889; SRX11070888; SRX11070887; SRX11070886; SRX11070885; SRX11070884; SRX11070883; SRX11070882; SRX11070881; SRX11070880; SRX11070879; SRX11070878; SRX11070877; SRX11070876; SRX11070875; SRX11070874; SRX11070873; SRX11070872; SRX11070871; SRX11070870; SRX11070869; SRX11070868; SRX11070867; SRX11070866; SRX11070865; SRX11070864; SRX11070863; SRX11070862; SRX11070861; SRX11070860; SRX11070859; SRX11070858; SRX11070857; SRX11070856; SRX11070855; SRX11070854; SRX11070853; SRX11070852; SRX11070851; SRX11070850; SRX11070849; SRX11070848; SRX11070847; SRX11070846; SRX11070845,SAMN19523118; SAMN19523119; SAMN19523120; SAMN19523121; SAMN19523122; SAMN19523123; SAMN19523124; SAMN19523125; SAMN19523126; SAMN19523127; SAMN19523128; SAMN19523129; SAMN19523130; SAMN19523131; SAMN19523132; SAMN19523133; SAMN19523134; SAMN19523135,SRR14736086; SRR14736087; SRR14736088; SRR14736089; SRR14736090; SRR14736091; SRR14736092; SRR14736093; SRR14736094; SRR14736095; SRR14736096; SRR14736097; SRR14736098; SRR14736099; SRR14736100; SRR14736101; SRR14736102; SRR14736103; SRR14736104; SRR14736105; SRR14736106; SRR14736107; SRR14736108; SRR14736109; SRR14736110; SRR14736111; SRR14736112; SRR14736113; SRR14736114; SRR14736115; SRR14736116; SRR14736117; SRR14736118; SRR14736119; SRR14736120; SRR14736121; SRR14736122; SRR14736123; SRR14736124; SRR14736125; SRR14736126; SRR14736127; SRR14736128; SRR14736129; SRR14736130; SRR14736131; SRR14736132; SRR14736133; SRR14736134; SRR14736135; SRR14736136; SRR14736137; SRR14736138; SRR14736139; SRR14736140; SRR14736141; SRR14736142; SRR14736143; SRR14736144; SRR14736145; SRR14736146; SRR14736147; SRR14736148; SRR14736149; SRR14736150; SRR14736151; SRR14736152; SRR14736153; SRR14736154; SRR14736155; SRR14736156; SRR14736157,NA,NA,NA,NA,NA
PRJEB42548,TRANSCRIPTOMIC PROFILING OF GENES INVOLVED IN INDUCED DROUGHT TOLERANCE CONFERRED BY PSEUDOMONAS PUTIDA SAESo11,NA,BATOMAS_DROUGHT,"
            ","Plant-growth-promoting rhizobacteria (PGPR) aggressively colonize plant roots of many plant species and augment plant growth and immunity to pathogen attacks. Some PGPR strains produce auxin, cytokinin and antioxidants, while others induce phosphorus solubilization. Previously we have isolated Pseudomonas putida SAESo11 from the volcanic island of Santorini in Greece, and we have found that this strain produce auxin and siderophores, solubilizes P, and possess antifungal properties. In this study, we characterize the transcriptome of tomato seedlings inoculated with SAESo11 under drought stress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
